age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
39,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,<=50K
49,Private,HS-grad,9,Married,Craft-repair,Husband,White,Male,40,United-States,<=50K
23,Public,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,<=50K
20,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,44,United-States,<=50K
45,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,<=50K
30,Public,Some-college,10,Married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K
22,Public,Some-college,10,Married,Other-service,Husband,Black,Male,15,United-States,<=50K
48,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,<=50K
21,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K
19,Private,HS-grad,9,Married,Adm-clerical,Wife,White,Female,25,United-States,<=50K
31,Private,Some-college,10,Married,Sales,Husband,White,Male,38,?,>50K
48,Self-employed,Assoc-acdm,12,Married,Prof-specialty,Husband,White,Male,40,United-States,<=50K
31,Private,9th,5,Married,Machine-op-inspct,Husband,White,Male,43,United-States,<=50K
53,Self-employed,Bachelors,13,Married,Prof-specialty,Husband,White,Male,40,United-States,<=50K
24,Private,Bachelors,13,Married,Tech-support,Husband,White,Male,50,United-States,<=50K
49,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
25,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,<=50K
57,Public,Bachelors,13,Married,Prof-specialty,Husband,Black,Male,40,United-States,>50K
53,Private,HS-grad,9,Married,Machine-op-inspct,Husband,White,Male,38,United-States,<=50K
44,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K
41,Public,Assoc-voc,11,Married,Craft-repair,Husband,White,Male,40,United-States,<=50K
29,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,<=50K
25,Private,Some-college,10,Married,Exec-managerial,Wife,Other,Female,40,United-States,<=50K
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30,?,<=50K
47,Private,Prof-school,15,Married,Prof-specialty,Wife,White,Female,60,Honduras,>50K
?,Public,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K
47,Self-employed,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K
43,Private,Some-college,10,Married,Tech-support,Husband,White,Male,40,United-States,>50K
46,Private,5th-6th,3,Married,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K
35,Private,Assoc-voc,11,Married,Other-service,Husband,White,Male,40,Puerto-Rico,<=50K
41,Private,HS-grad,9,Married,Adm-clerical,Husband,White,Male,48,United-States,<=50K
30,Private,HS-grad,9,Married,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
30,Private,Bachelors,13,Married,Sales,Husband,White,Male,40,United-States,<=50K
32,?,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male,40,?,<=50K
48,Private,HS-grad,9,Married,Transport-moving,Husband,White,Male,40,United-States,<=50K
42,Private,Doctorate,16,Married,Prof-specialty,Husband,White,Male,45,United-States,>50K
29,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,<=50K
36,Private,HS-grad,9,Married,Craft-repair,Husband,White,Male,40,United-States,<=50K
28,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
53,Private,HS-grad,9,Married,Adm-clerical,Wife,White,Female,40,United-States,>50K
49,Self-employed,Some-college,10,Married,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,?,Some-college,10,Never-married,?,Own-child,White,Male,40,United-States,<=50K
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,<=50K
31,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,40,United-States,<=50K
29,Self-employed,Bachelors,13,Married,Sales,Husband,White,Male,70,United-States,>50K
23,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
79,Private,Some-college,10,Married,Prof-specialty,Other-relative,White,Male,20,United-States,<=50K
27,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,<=50K
40,Private,Assoc-acdm,12,Married,Adm-clerical,Husband,White,Male,40,United-States,<=50K
67,?,10th,6,Married,?,Husband,White,Male,2,United-States,<=50K
18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,22,United-States,<=50K
31,Public,7th-8th,4,Married,Farming-fishing,Husband,White,Male,40,United-States,<=50K
18,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K
52,Private,Bachelors,13,Married,Other-service,Husband,White,Male,40,Cuba,<=50K
46,Private,HS-grad,9,Married,Other-service,Wife,White,Female,40,United-States,<=50K
59,Private,HS-grad,9,Married,Sales,Husband,White,Male,48,United-States,<=50K
44,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,>50K
53,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K
49,Public,HS-grad,9,Married,Protective-serv,Husband,White,Male,40,United-States,>50K
?,Private,Masters,14,Married,Prof-specialty,Husband,White,Male,50,United-States,<=50K
30,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
43,Public,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K
57,Private,Assoc-voc,11,Married,Prof-specialty,Husband,White,Male,40,United-States,<=50K
37,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K
28,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,<=50K
30,Private,HS-grad,9,Married,Sales,Wife,Asian-Pac-Islander,Female,35,?,<=50K
34,Public,Bachelors,13,Married,Protective-serv,Husband,White,Male,40,United-States,>50K
29,Public,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K
48,Self-employed,Doctorate,16,Married,Prof-specialty,Husband,White,Male,60,United-States,>50K
37,Private,Some-college,10,Married,Sales,Husband,White,Male,48,United-States,>50K
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,<=50K
32,Public,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K
76,Private,Masters,14,Married,Exec-managerial,Husband,White,Male,40,United-States,>50K
?,Private,Bachelors,13,Married,Exec-managerial,Husband,White,Male,60,United-States,>50K
47,Self-employed,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K
20,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K
29,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
32,Self-employed,HS-grad,9,Married,Craft-repair,Husband,White,Male,40,United-States,>50K
17,?,10th,6,Never-married,?,Own-child,White,Female,32,United-States,<=50K
30,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K
31,Public,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
42,Private,HS-grad,9,Married,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
24,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,40,United-States,<=50K
38,Private,Prof-school,15,Married,Prof-specialty,Husband,White,Male,40,United-States,>50K
56,Self-employed,HS-grad,9,Married,Other-service,Husband,White,Male,50,Canada,>50K
28,Private,Some-college,10,Married,Sales,Wife,White,Female,25,United-States,<=50K
36,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K
53,Private,9th,5,Married,Handlers-cleaners,Husband,White,Male,50,United-States,<=50K
56,Self-employed,Some-college,10,Married,Sales,Husband,White,Male,50,United-States,<=50K
49,Public,Assoc-voc,11,Married,Craft-repair,Husband,Black,Male,40,United-States,>50K
55,Private,Some-college,10,Married,Sales,Husband,White,Male,56,United-States,<=50K
22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K
40,Private,Bachelors,13,Married,Exec-managerial,Husband,White,Male,60,United-States,<=50K
30,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,<=50K
29,Public,Bachelors,13,Married,Prof-specialty,Husband,White,Male,50,United-States,>50K
19,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,<=50K
47,Private,Bachelors,13,Married,Exec-managerial,Wife,White,Female,40,United-States,>50K
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,<=50K
31,Private,Assoc-acdm,12,Married,Adm-clerical,Husband,White,Male,40,United-States,>50K
35,?,HS-grad,9,Married,?,Husband,White,Male,40,United-States,<=50K
39,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
28,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,<=50K
24,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
38,Self-employed,HS-grad,9,Married,Craft-repair,Husband,White,Male,35,United-States,<=50K
?,Private,Bachelors,13,Married,Sales,Husband,White,Male,50,United-States,<=50K
46,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,<=50K
38,Public,Masters,14,Married,Prof-specialty,Husband,White,Male,40,Iran,>50K
43,Self-employed,HS-grad,9,Married,Craft-repair,Husband,White,Male,60,United-States,<=50K
27,Private,Assoc-voc,11,Married,Adm-clerical,Wife,White,Female,35,United-States,<=50K
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K
49,Private,Some-college,10,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K
61,Self-employed,HS-grad,9,Married,Craft-repair,Husband,White,Male,40,United-States,<=50K
27,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,<=50K
45,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
70,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K
31,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,<=50K
22,Private,Some-college,10,Married,Other-service,Husband,White,Male,24,United-States,<=50K
36,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,<=50K
64,Private,11th,7,Married,Craft-repair,Husband,White,Male,40,United-States,<=50K
43,?,Some-college,10,Divorced,?,Not-in-family,White,Female,40,United-States,<=50K
47,Public,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,<=50K
34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
33,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K
52,?,HS-grad,9,Divorced,?,Not-in-family,White,Male,45,United-States,>50K
48,Private,HS-grad,9,Married,Craft-repair,Husband,White,Male,46,United-States,<=50K
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K
71,Self-employed,Some-college,10,Separated,Sales,Unmarried,Black,Male,2,United-States,<=50K
29,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K
42,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,<=50K
68,?,1st-4th,2,Divorced,?,Not-in-family,White,Female,20,United-States,<=50K
25,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K
44,Self-employed,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K
28,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K
45,Self-employed,Masters,14,Married,Sales,Husband,White,Male,40,United-States,>50K
36,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,<=50K
39,Public,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K
?,Public,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,<=50K
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K
66,Public,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K
27,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K
28,Public,HS-grad,9,Married,Protective-serv,Husband,White,Male,40,United-States,<=50K
51,Private,Some-college,10,Married,Sales,Husband,White,Male,40,United-States,>50K
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K
28,Public,Bachelors,13,Married,Prof-specialty,Husband,White,Male,40,United-States,>50K
27,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,<=50K
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,12,United-States,<=50K
33,Private,Bachelors,13,Married,Prof-specialty,Husband,White,Male,65,United-States,<=50K
44,Public,Some-college,10,Married,Exec-managerial,Husband,Black,Male,38,United-States,>50K
43,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
30,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,<=50K
40,Private,7th-8th,4,Married,Machine-op-inspct,Husband,White,Male,40,Mexico,>50K
37,Public,Some-college,10,Married,Adm-clerical,Husband,White,Male,42,United-States,>50K
34,Private,HS-grad,9,Married,Adm-clerical,Husband,Black,Male,40,United-States,<=50K
41,Self-employed,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
53,?,Bachelors,13,Divorced,?,Not-in-family,White,Female,50,United-States,<=50K
31,Private,Masters,14,Married,Prof-specialty,Wife,White,Female,50,United-States,<=50K
58,Public,Doctorate,16,Married,Prof-specialty,Husband,White,Male,1,United-States,>50K
38,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,<=50K
24,Private,Some-college,10,Married,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
41,Public,Bachelors,13,Married,Craft-repair,Husband,Black,Male,40,United-States,<=50K
47,Private,Some-college,10,Married,Tech-support,Husband,White,Male,45,United-States,<=50K
41,Public,Bachelors,13,Married,Tech-support,Husband,White,Male,24,United-States,<=50K
23,Private,5th-6th,3,Married,Transport-moving,Other-relative,White,Male,40,Mexico,<=50K
36,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
40,Public,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,>50K
35,Private,Masters,14,Married,Prof-specialty,Other-relative,White,Male,40,United-States,>50K
24,Self-employed,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
19,?,HS-grad,9,Never-married,?,Own-child,White,Male,40,Italy,<=50K
51,Private,Bachelors,13,Married,Exec-managerial,Husband,White,Male,50,United-States,>50K
42,Public,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
37,Public,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K
18,Private,11th,7,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K
36,Private,Bachelors,13,Married,Other-service,Husband,Black,Male,36,United-States,>50K
35,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K
58,Self-employed,HS-grad,9,Married,Sales,Wife,White,Female,35,United-States,>50K
17,Private,11th,7,Never-married,Sales,Own-child,White,Female,12,United-States,<=50K
44,Public,HS-grad,9,Married,Transport-moving,Husband,Black,Male,40,United-States,<=50K
37,Private,HS-grad,9,Married,Craft-repair,Husband,White,Male,40,United-States,>50K
35,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K
60,Private,HS-grad,9,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K
54,Self-employed,7th-8th,4,Married,Machine-op-inspct,Husband,White,Male,40,United-States,>50K
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,>50K
50,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
38,Private,Bachelors,13,Married,Sales,Husband,White,Male,50,Poland,<=50K
45,Private,Bachelors,13,Married,Prof-specialty,Husband,White,Male,55,United-States,<=50K
25,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
31,Private,Some-college,10,Married,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
64,?,1st-4th,2,Divorced,?,Not-in-family,White,Male,40,United-States,<=50K
90,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,<=50K
54,Private,HS-grad,9,Married,Adm-clerical,Husband,Black,Male,20,United-States,<=50K
53,Public,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K
18,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K
60,?,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K
66,Self-employed,HS-grad,9,Married,Farming-fishing,Husband,White,Male,50,United-States,<=50K
75,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,<=50K
65,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
35,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,<=50K
41,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,<=50K
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,<=50K
33,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,<=50K
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,>50K
59,Public,HS-grad,9,Married,Other-service,Husband,White,Male,40,United-States,<=50K
40,Public,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K
41,Private,Bachelors,13,Married,Exec-managerial,Husband,White,Male,50,Iran,>50K
38,Public,Masters,14,Married,Exec-managerial,Husband,White,Male,70,United-States,>50K
23,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K
40,Private,Bachelors,13,Married,Prof-specialty,Husband,White,Male,40,United-States,>50K
41,Self-employed,HS-grad,9,Married,Other-service,Wife,White,Female,20,United-States,<=50K
24,Public,Assoc-acdm,12,Married,Protective-serv,Husband,White,Male,50,United-States,<=50K
20,?,Some-college,10,Never-married,?,Own-child,White,Male,20,United-States,<=50K
38,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
56,Private,HS-grad,9,Married,Adm-clerical,Husband,White,Male,35,?,<=50K
58,Private,HS-grad,9,Married,Adm-clerical,Husband,White,Male,45,United-States,>50K
32,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,<=50K
40,Private,Assoc-acdm,12,Married,Tech-support,Husband,White,Male,60,United-States,>50K
45,Private,HS-grad,9,Married,Adm-clerical,Husband,White,Male,40,?,<=50K
41,Private,Prof-school,15,Married,Prof-specialty,Wife,White,Female,40,United-States,>50K
42,Private,Bachelors,13,Married,Adm-clerical,Wife,Black,Female,40,United-States,<=50K
59,Public,10th,6,Widowed,Other-service,Unmarried,Black,Female,30,United-States,<=50K
?,Public,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K
58,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,20,United-States,<=50K
42,Self-employed,HS-grad,9,Married,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Cambodia,>50K
20,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K
32,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,30,United-States,<=50K
45,Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K
50,Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
36,Private,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K
45,Private,HS-grad,9,Married,Sales,Husband,White,Male,60,United-States,<=50K
17,Private,11th,7,Never-married,Other-service,Own-child,White,Male,12,United-States,<=50K
59,Private,Some-college,10,Married,Sales,Husband,White,Male,40,United-States,<=50K
26,Private,11th,7,Married,Craft-repair,Husband,White,Male,40,United-States,<=50K
37,Self-employed,Some-college,10,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,75,Thailand,>50K
19,?,Some-college,10,Never-married,?,Own-child,White,Male,24,Canada,<=50K
64,Private,HS-grad,9,Married,Exec-managerial,Husband,White,Male,40,United-States,>50K
33,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,<=50K
33,Private,HS-grad,9,Married,Craft-repair,Wife,White,Female,40,United-States,>50K
61,Private,HS-grad,9,Married,Exec-managerial,Husband,White,Male,40,United-States,>50K
17,Private,9th,5,Never-married,Other-service,Own-child,White,Male,24,United-States,<=50K
50,Self-employed,Masters,14,Married,Farming-fishing,Husband,White,Male,98,United-States,<=50K
27,Public,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,35,United-States,<=50K
30,Private,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K
43,Private,HS-grad,9,Married,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K
44,Private,Some-college,10,Married,Craft-repair,Husband,White,Male,40,United-States,>50K
35,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
25,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K
24,Private,Some-college,10,Married,Machine-op-inspct,Wife,White,Female,48,United-States,>50K
22,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,15,Germany,<=50K
42,Public,Some-college,10,Married,Craft-repair,Husband,White,Male,40,United-States,>50K
34,Private,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Female,45,United-States,<=50K
60,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,42,United-States,<=50K
21,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K
57,Public,Masters,14,Married,Sales,Husband,White,Male,40,United-States,>50K
41,Private,Prof-school,15,Married,Prof-specialty,Husband,White,Male,60,United-States,>50K
50,Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,45,United-States,<=50K
25,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
50,Private,7th-8th,4,Married,Craft-repair,Husband,White,Male,40,Ecuador,<=50K
36,Private,Bachelors,13,Married,Prof-specialty,Husband,White,Male,45,United-States,<=50K
31,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
29,Public,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,56,United-States,<=50K
21,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,45,United-States,<=50K
27,Private,Bachelors,13,Never-married,Tech-support,Unmarried,Black,Female,40,United-States,<=50K
65,Private,HS-grad,9,Married,Transport-moving,Husband,White,Male,16,United-States,<=50K
37,Self-employed,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,60,United-States,<=50K
39,?,Masters,14,Married,?,Wife,Asian-Pac-Islander,Female,40,?,<=50K
24,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K
38,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,80,United-States,<=50K
48,Private,Bachelors,13,Married,Adm-clerical,Husband,White,Male,40,United-States,>50K
21,Private,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,25,United-States,<=50K
31,Private,HS-grad,9,Married,Transport-moving,Husband,White,Male,45,United-States,>50K
55,Private,HS-grad,9,Married,Sales,Husband,White,Male,40,United-States,>50K
24,Private,Some-college,10,Married,Adm-clerical,Wife,Asian-Pac-Islander,Female,40,Laos,<=50K
43,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
